train_loss,test_loss
0.0018575537323951721,1.3009667747497557
0.0007720467388629914,0.47859363180796305
0.0004141431421041489,0.2609972660223643
0.00031415296494960784,0.21791496095657348
0.0002730752497911453,0.1995263154665629
0.0002420200303196907,0.1881633628209432
0.0002234092891216278,0.18154173755645753
0.0002160712867975235,0.17656024792989095
0.00020139567404985428,0.17329140179951985
0.00020685436576604844,0.17029680614471435
0.0002048055663704872,0.16923939631779988
0.00019672540426254274,0.16823450009028118
0.00020079814195632934,0.16750514001846314
0.00019892742931842803,0.16697903153101604
