train_loss,test_loss
0.0018051648139953613,1.4628311464309693
0.000652591958642006,0.4431835724830627
0.0002647001415491104,0.2558353272438049
0.0001950166180729866,0.22885098532438278
0.00016969133168458938,0.20943972158829371
0.00015170032158493997,0.19765655537843704
0.00014045658484101295,0.19151387739976247
0.00013305768519639968,0.186256764849027
0.0001279424972832203,0.18322951624393463
0.00012440953701734544,0.18124893930753072
0.00012191485315561294,0.17978072925011318
0.00012027242630720139,0.17885040324727694
0.00011905042752623558,0.17810338559349378
0.00011818239688873291,0.177564553407828
